Date,Open,High,Low,Close,Volume
2015-01-12,24.91618759295084,24.922825738800306,24.075322583368106,24.174898147583008,198603200
2015-01-13,24.657296664253337,24.96045168588844,24.09967031003242,24.38954734802246,268367600
2015-01-14,24.128432366224875,24.449288501616856,24.008940661725582,24.296606063842773,195826400
2015-01-15,24.340862128726783,24.354138422379428,23.601785852626346,23.637189865112305,240056000
2015-01-16,23.68365559685356,23.805360567456344,23.27871180910595,23.453523635864258,314053200
2015-01-20,23.862887367369424,24.112935402966933,23.56637231943135,24.057615280151367,199599600
2015-01-21,24.108513744434763,24.575415810890004,23.95804291228469,24.241283416748047,194303600
2015-01-22,24.398396505882765,24.88742637071064,24.27890479360892,24.871936798095703,215185600
2015-01-23,24.849803832464627,25.17065992099816,24.679416881433152,25.000274658203125,185859200
2015-01-26,25.16845201286075,25.305646576499495,24.960449421311633,25.026832580566406,222460000
2015-01-27,24.876358386921034,24.889636367580913,24.12621747674591,24.150558471679688,382274800
2015-01-28,26.029238193711052,26.13766691083766,25.515867233276367,25.515867233276367,585908400
2015-01-29,25.73935088467864,26.374426606206118,25.571177211115504,26.31025505065918,337745600
2015-01-30,26.19961743530487,26.55366597735562,25.856631907802715,25.925230026245117,334982000
2015-02-02,26.122175426924652,26.37000861770944,25.686252376114563,26.250516891479492,250956400
2015-02-03,26.22174951466699,26.352304250420058,26.024809927632663,26.254941940307617,207662800
2015-02-04,26.221747684954753,26.666522105734966,26.179703836194584,26.4563045501709,280598800
2015-02-05,26.662910718347398,26.709564529534767,26.491852958626215,26.645139694213867,168984800
2015-02-06,26.662908024891667,26.714004163225805,26.314126499870483,26.420761108398438,174826400
2015-02-09,26.336340464499866,26.62291744894482,26.309681391456404,26.59626007080078,155559200
2015-02-10,26.69623341788492,27.1360988800661,26.694013099240877,27.10721778869629,248034000
2015-02-11,27.273826139961198,27.751457234046466,27.213845349029228,27.742570877075195,294247200
2015-02-12,28.004720253825706,28.32018008177655,27.895865316767186,28.093582153320312,297898000
2015-02-13,28.27574953174735,28.27574953174735,27.913639266842324,28.231319427490234,217088800
