Date,Open,High,Low,Close,Volume
2015-01-12 00:00:00-05:00,24.916193490455274,24.922831637875944,24.075328281845096,24.174903869628906,198603200
2015-01-13 00:00:00-05:00,24.657287022815467,24.96044192591161,24.09966088663629,24.389537811279297,268367600
2015-01-14 00:00:00-05:00,24.128432366224875,24.449288501616856,24.008940661725582,24.296606063842773,195826400
2015-01-15 00:00:00-05:00,24.34086016459694,24.35413645717828,23.60178394813456,23.637187957763672,240056000
2015-01-16 00:00:00-05:00,23.68365752291758,23.805362503417978,23.27871370223808,23.45352554321289,314053200
2015-01-20 00:00:00-05:00,23.862891151189643,24.112939226436037,23.566376056234642,24.057619094848633,199599600
2015-01-21 00:00:00-05:00,24.108513744434763,24.575415810890004,23.95804291228469,24.241283416748047,194303600
2015-01-22 00:00:00-05:00,24.398400247951475,24.887430187783597,24.278908517350764,24.87194061279297,215185600
2015-01-23 00:00:00-05:00,24.849807624202118,25.170663761693863,24.679420647171945,25.00027847290039,185859200
2015-01-26 00:00:00-05:00,25.168448176577243,25.305642719304203,24.960445616732773,25.02682876586914,222460000
2015-01-27 00:00:00-05:00,24.8763564222506,24.88963440186182,24.126215571319666,24.150556564331055,382274800
2015-01-28 00:00:00-05:00,26.02923430226332,26.13766300317951,25.5158634185791,25.5158634185791,585908400
2015-01-29 00:00:00-05:00,25.739352750639867,26.374428518206834,25.571179064885065,26.310256958007812,337745600
2015-01-30 00:00:00-05:00,26.199615507769245,26.553664023772246,25.856630005500925,25.925228118896484,334982000
2015-02-02 00:00:00-05:00,26.122171630877833,26.370004785647765,25.68624864341562,26.250513076782227,250956400
2015-02-03 00:00:00-05:00,26.221741894917805,26.352296592733122,26.024802365111935,26.254934310913086,207662800
2015-02-04 00:00:00-05:00,26.221745794516334,26.666520183230848,26.179701948787283,26.456302642822266,280598800
2015-02-05 00:00:00-05:00,26.662906901105913,26.70956070561401,26.49184916587451,26.6451358795166,168984800
2015-02-06 00:00:00-05:00,26.662908024891667,26.714004163225805,26.314126499870483,26.420761108398438,174826400
2015-02-09 00:00:00-05:00,26.336336687082827,26.62291363042409,26.309677617863073,26.596256256103516,155559200
2015-02-10 00:00:00-05:00,26.696229661023946,27.136095061304506,26.69400934269236,27.107213973999023,248034000
